type: sc1
name: BrokenSteppes
algorithm: jpsplus
preprossessing [ms]: 6705

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
574	147	580	143	0,00000	7,65685	7,65685	10	0
259	618	255	617	0,00000	4,41421	4,41421	7	0
730	70	733	67	0,00000	4,24264	4,24264	6	0
374	53	372	60	-0,00000	7,82843	7,82843	8	0
191	312	196	312	0,00000	5,00000	5,00000	5	0
230	381	225	380	0,00000	5,41421	5,41421	5	0
762	663	756	662	0,00000	6,41421	6,41421	5	0
22	304	19	309	0,00000	6,24264	6,24264	6	0
23	137	28	135	-0,00000	5,82843	5,82843	6	0
436	550	429	549	0,00000	7,41421	7,41421	7	0
221	749	217	740	-0,00005	10,65690	10,65685	6	0
164	46	169	38	-0,00003	10,07110	10,07107	7	0
70	103	79	97	-0,00002	11,48530	11,48528	7	0
288	648	277	646	0,00003	11,82840	11,82843	6	0
22	132	22	121	0,00000	11,00000	11,00000	5	0
129	356	125	366	-0,00005	11,65690	11,65685	7	0
398	616	400	608	-0,00000	8,82843	8,82843	10	0
113	456	104	462	-0,00002	11,48530	11,48528	7	0
106	287	116	285	0,00003	10,82840	10,82843	7	0
450	387	459	388	0,00000	9,41421	9,41421	6	0
641	514	636	504	-0,00003	12,07110	12,07107	10	0
225	189	220	200	-0,00003	13,07110	13,07107	7	0
314	230	312	217	0,00003	13,82840	13,82843	8	0
600	693	587	690	0,00004	14,24260	14,24264	9	0
547	479	543	468	-0,00005	12,65690	12,65685	8	0
20	448	31	437	0,00005	15,55630	15,55635	9	0
172	165	183	157	0,00001	14,31370	14,31371	7	0
680	690	668	685	-0,00003	14,07110	14,07107	9	0
428	272	415	273	0,00001	13,41420	13,41421	7	0
332	170	327	159	-0,00003	13,07110	13,07107	7	0
724	717	708	723	-0,00002	18,48530	18,48528	13	0
395	249	409	255	-0,00002	16,48530	16,48528	9	0
92	741	79	732	0,00002	16,72790	16,72792	6	0
23	467	7	460	-0,00001	18,89950	18,89949	9	0
647	442	643	458	-0,00005	17,65690	17,65685	7	0
500	433	519	433	0,00000	19,00000	19,00000	6	0
277	469	287	484	0,00004	19,14210	19,14214	9	0
671	266	660	278	0,00005	16,55630	16,55635	8	0
563	248	569	231	-0,00002	19,48530	19,48528	8	0
321	491	340	492	0,00001	19,41420	19,41421	7	0
704	117	722	105	-0,00004	22,97060	22,97056	8	0
442	566	451	547	0,00002	22,72790	22,72792	7	0
19	665	33	683	-0,00001	23,79900	23,79899	6	0
354	737	359	758	-0,00003	23,07110	23,07107	5	0
274	90	253	90	0,00000	21,00000	21,00000	5	0
440	308	451	290	0,00005	22,55630	22,55635	10	0
40	738	22	726	-0,00004	22,97060	22,97056	5	0
555	686	547	703	0,00001	20,31370	20,31371	9	0
597	437	610	422	-0,00002	20,38480	20,38478	6	0
680	299	681	278	0,00001	21,41420	21,41421	6	0
671	559	687	577	0,00002	24,62740	24,62742	10	0
542	322	533	299	0,00002	26,72790	26,72792	11	0
70	203	46	200	0,00004	25,24260	25,24264	8	0
443	252	433	229	0,00004	27,14210	27,14214	19	0
45	680	66	688	0,00001	24,31370	24,31371	6	0
539	198	524	178	0,00000	26,21320	26,21320	15	0
419	650	397	641	0,00002	25,72790	25,72792	15	0
511	28	517	4	-0,00002	26,48530	26,48528	10	0
618	637	624	660	-0,00002	25,48530	25,48528	11	0
689	756	712	747	0,00002	26,72790	26,72792	7	0
391	213	394	243	0,00004	31,24260	31,24264	7	0
423	621	438	598	0,00000	29,21320	29,21320	9	0
390	421	417	410	0,00005	31,55630	31,55635	10	0
456	606	438	583	0,00004	30,45580	30,45584	8	0
611	750	634	730	-0,00003	31,28430	31,28427	20	0
35	693	42	722	-0,00001	31,89950	31,89949	5	0
625	401	640	426	0,00000	31,21320	31,21320	11	0
388	230	376	206	-0,00004	28,97060	28,97056	12	0
747	512	732	534	0,00000	28,21320	28,21320	12	0
162	54	185	40	-0,00001	28,79900	28,79899	8	0
471	462	437	466	-0,00005	35,65690	35,65685	10	0
317	27	291	47	-0,00003	34,28430	34,28427	7	0
22	669	48	684	0,00000	32,21320	32,21320	5	0
502	89	532	103	-0,00001	35,79900	35,79899	14	0
48	639	50	604	0,00003	35,82840	35,82843	15	1
258	44	252	74	-0,00002	32,48530	32,48528	7	0
33	144	27	113	-0,00002	33,48530	33,48528	9	0
12	468	15	435	0,00004	34,24260	34,24264	9	0
434	740	401	742	0,00003	33,82840	33,82843	5	0
686	680	717	684	-0,00005	32,65690	32,65685	6	0
430	391	402	411	-0,00003	36,28430	36,28427	10	0
620	25	592	2	0,00001	37,52690	37,52691	16	0
81	191	95	157	-0,00001	39,79900	39,79899	15	0
546	517	574	541	0,00003	37,94110	37,94113	6	0
654	155	624	175	-0,00003	38,28430	38,28427	9	0
56	675	79	704	0,00001	38,52690	38,52691	6	0
649	277	678	300	0,00001	38,52690	38,52691	8	0
489	663	496	693	-0,00005	36,65690	36,65685	15	0
339	569	374	581	-0,00004	39,97060	39,97056	10	0
395	213	395	251	0,00000	38,00000	38,00000	6	0
711	416	742	392	0,00003	40,94110	40,94113	9	0
657	287	642	322	0,00000	41,21320	41,21320	18	0
155	354	168	318	-0,00002	41,38480	41,38478	16	0
731	425	751	391	-0,00003	42,28430	42,28427	7	0
734	755	746	719	-0,00004	40,97060	40,97056	6	0
178	489	198	521	-0,00003	40,28430	40,28427	15	0
397	739	381	704	0,00002	41,62740	41,62742	11	0
39	90	71	62	-0,00002	43,59800	43,59798	6	0
166	528	182	563	0,00002	41,62740	41,62742	9	0
211	475	196	439	0,00000	42,21320	42,21320	19	0
423	130	379	127	-0,00001	46,89950	46,89949	18	0
358	103	390	136	0,00003	46,25480	46,25483	11	0
708	39	751	51	-0,00004	47,97060	47,97056	7	0
686	132	656	97	0,00001	47,42640	47,42641	15	0
542	124	569	158	-0,00003	45,18380	45,18377	9	0
336	222	380	226	-0,00005	45,65690	45,65685	9	0
260	223	265	181	-0,00003	44,07110	44,07107	9	0
68	336	63	378	-0,00003	44,07110	44,07107	7	1
577	115	619	103	-0,00004	46,97060	46,97056	12	0
50	107	62	148	-0,00004	45,97060	45,97056	7	0
524	426	552	386	-0,00002	51,59800	51,59798	11	0
517	434	536	391	-0,00004	50,87010	50,87006	12	0
535	492	575	468	0,00003	49,94110	49,94113	13	0
415	225	416	273	0,00001	48,41420	48,41421	8	0
49	39	32	1	0,00004	51,14210	51,14214	17	0
212	497	184	459	-0,00002	49,59800	49,59798	17	0
334	40	288	34	-0,00002	48,48530	48,48528	7	0
184	713	199	669	0,00000	50,21320	50,21320	22	0
145	290	106	261	-0,00001	51,01220	51,01219	12	0
322	452	371	445	-0,00001	51,89950	51,89949	13	0
325	70	376	59	0,00005	55,55630	55,55635	14	0
556	58	599	35	0,00001	52,52690	52,52691	16	0
