type: da2
name: lt_gallowscourtyard_n
algorithm: jpsplusbb
preprossessing [ms]: 22732

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
317	391	310	391	0,00000	7,00000	7,00000	4	0
180	379	185	380	0,00000	5,41421	5,41421	4	0
328	390	330	394	-0,00000	4,82843	4,82843	3	0
340	364	339	371	0,00000	7,41421	7,41421	3	0
349	391	352	395	0,00000	5,24264	5,24264	3	0
307	402	311	398	0,00000	5,65685	5,65685	2	0
183	398	185	403	-0,00000	5,82843	5,82843	4	0
244	393	238	396	0,00000	7,24264	7,24264	5	0
208	410	214	409	0,00000	6,41421	6,41421	3	0
91	396	94	393	0,00000	4,24264	4,24264	2	0
193	399	197	406	0,00000	8,65685	8,65685	6	0
186	405	192	410	-0,00000	8,07107	8,07107	6	0
202	396	208	405	-0,00002	11,48530	11,48528	7	0
177	392	179	382	0,00003	10,82840	10,82843	4	0
298	401	292	396	-0,00000	8,07107	8,07107	5	0
215	429	213	437	-0,00000	8,82843	8,82843	4	0
138	392	140	383	-0,00000	9,82843	9,82843	3	0
108	393	117	390	0,00004	10,24260	10,24264	5	0
322	379	320	389	0,00003	10,82840	10,82843	4	0
186	382	187	373	0,00000	9,41421	9,41421	3	0
232	394	246	390	-0,00005	15,65690	15,65685	3	0
119	396	104	395	0,00001	15,41420	15,41421	3	0
219	366	214	353	-0,00003	15,07110	15,07107	7	0
253	394	240	397	0,00004	14,24260	14,24264	4	1
236	354	228	365	-0,00002	15,48530	15,48528	9	0
203	430	213	435	-0,00003	12,07110	12,07107	3	0
193	371	184	380	0,00002	12,72790	12,72792	3	0
179	416	183	402	-0,00005	15,65690	15,65685	3	0
263	404	278	404	0,00000	15,00000	15,00000	3	0
221	416	230	427	0,00002	14,72790	14,72792	7	0
189	428	205	431	0,00004	17,24260	17,24264	7	0
264	398	276	388	0,00004	16,14210	16,14214	3	0
290	403	300	390	0,00004	17,14210	17,14214	4	0
314	399	310	382	-0,00005	18,65690	18,65685	4	0
308	398	325	402	-0,00005	18,65690	18,65685	3	0
200	384	188	397	-0,00004	17,97060	17,97056	8	0
200	393	218	393	0,00000	18,00000	18,00000	2	0
220	400	205	406	-0,00002	17,48530	17,48528	10	0
202	401	187	407	-0,00002	17,48530	17,48528	5	0
116	396	98	392	-0,00005	19,65690	19,65685	3	0
331	382	322	399	0,00002	20,72790	20,72792	5	0
212	365	203	385	0,00002	23,72790	23,72792	7	0
207	419	188	416	0,00004	20,24260	20,24264	4	0
212	418	213	395	0,00001	23,41420	23,41421	3	0
193	405	195	384	0,00003	21,82840	21,82843	3	0
184	419	203	408	0,00005	23,55630	23,55635	6	0
181	379	192	398	0,00005	23,55630	23,55635	7	0
197	363	217	370	-0,00001	22,89950	22,89949	7	0
189	436	184	416	-0,00003	22,07110	22,07107	5	0
311	399	328	389	0,00004	21,14210	21,14214	4	0
216	422	198	434	0,00004	24,14210	24,14214	10	0
213	354	235	349	-0,00003	24,07110	24,07107	6	0
185	415	183	391	0,00003	24,82840	24,82843	3	0
189	372	215	368	-0,00005	27,65690	27,65685	8	0
232	414	212	401	-0,00002	25,38480	25,38478	12	0
203	393	202	419	0,00001	26,41420	26,41421	5	0
201	422	181	404	0,00004	27,45580	27,45584	9	0
174	387	153	379	0,00001	24,31370	24,31371	4	0
168	403	193	396	-0,00001	27,89950	27,89949	7	0
160	394	183	403	-0,00001	27,89950	27,89949	11	0
171	386	196	377	0,00002	28,72790	28,72792	9	0
221	381	194	388	-0,00001	29,89950	29,89949	7	0
320	381	346	387	-0,00002	28,48530	28,48528	3	0
235	425	208	430	0,00004	30,24260	30,24264	6	0
300	400	271	405	-0,00003	31,07110	31,07107	8	0
190	426	182	400	0,00001	29,31370	29,31371	5	0
363	387	334	386	0,00001	29,41420	29,41421	6	0
318	384	287	382	0,00003	31,82840	31,82843	4	1
312	397	287	387	0,00004	29,14210	29,14214	4	0
221	381	235	359	-0,00002	28,38480	28,38478	12	0
180	395	183	361	0,00004	35,24260	35,24264	3	0
160	394	190	398	0,00003	32,82840	32,82843	8	0
197	366	228	361	-0,00005	33,65690	33,65685	18	0
204	420	235	423	0,00003	32,82840	32,82843	8	0
214	395	196	370	0,00004	32,45580	32,45584	13	0
196	428	198	394	0,00003	34,82840	34,82843	7	0
193	368	228	366	0,00003	35,82840	35,82843	4	0
303	396	336	392	-0,00005	34,65690	34,65685	3	0
187	376	176	347	0,00005	33,55630	33,55635	5	0
170	405	203	404	0,00001	33,41420	33,41421	5	0
181	413	151	397	0,00005	39,55630	39,55635	11	0
176	436	205	413	-0,00002	39,69850	39,69848	14	0
208	432	228	403	-0,00003	37,28430	37,28427	14	0
280	401	318	401	0,00000	38,00000	38,00000	2	0
133	386	172	387	0,00001	39,41420	39,41421	4	0
228	415	227	382	-0,00002	38,38480	38,38478	8	0
241	392	223	412	0,00004	36,14210	36,14214	11	0
165	393	193	398	0,00004	39,24260	39,24264	10	0
296	395	265	379	0,00000	38,21320	38,21320	9	0
186	356	200	389	-0,00001	38,79900	38,79899	11	0
206	394	165	387	-0,00001	43,89950	43,89949	9	0
183	359	215	387	-0,00002	43,59800	43,59798	13	0
223	372	249	386	0,00001	43,31370	43,31371	8	0
201	407	222	374	-0,00002	41,69850	41,69848	13	0
191	408	204	371	-0,00002	42,38480	42,38478	8	0
213	412	181	384	-0,00002	43,59800	43,59798	19	0
179	436	210	414	-0,00003	41,28430	41,28427	19	0
223	415	189	435	0,00004	43,45580	43,45584	20	0
277	401	318	396	-0,00003	43,07110	43,07107	4	0
285	396	245	396	0,00000	40,00000	40,00000	4	0
183	364	198	405	0,00000	47,21320	47,21320	8	0
228	382	262	398	0,00005	45,55630	45,55635	7	0
235	429	221	390	-0,00001	44,79900	44,79899	12	0
175	438	208	407	-0,00001	47,01220	47,01219	18	0
240	393	221	426	-0,00001	47,89950	47,89949	8	0
180	435	217	414	-0,00004	46,87010	46,87006	25	1
171	396	197	359	-0,00005	47,76960	47,76955	13	0
339	341	339	386	0,00000	45,00000	45,00000	2	0
198	371	164	349	-0,00003	44,28430	44,28427	11	0
339	338	332	383	-0,00001	47,89950	47,89949	7	0
242	382	204	398	0,00004	48,14210	48,14214	7	0
339	396	295	384	-0,00004	48,97060	48,97056	7	0
235	425	195	406	0,00002	49,62740	49,62742	19	0
200	408	159	388	-0,00003	49,28430	49,28427	15	0
175	405	220	415	0,00004	49,14210	49,14214	6	0
215	417	210	369	-0,00003	50,07110	50,07107	8	0
335	348	343	393	0,00001	48,31370	48,31371	6	0
198	373	208	419	0,00004	50,14210	50,14214	8	0
110	391	160	391	0,00000	50,00000	50,00000	4	0
214	348	224	393	0,00004	49,14210	49,14214	9	0
232	415	226	370	-0,00004	53,97060	53,97056	14	0
168	435	180	394	0,00001	52,41420	52,41421	5	0
226	406	201	368	-0,00000	54,11270	54,11270	18	0
177	349	201	391	0,00001	52,52690	52,52691	15	0
189	422	226	385	0,00000	52,32590	52,32590	13	0
232	350	235	390	0,00003	55,04160	55,04163	14	0
197	392	242	402	-0,00003	52,07110	52,07107	5	0
213	436	216	383	0,00004	54,24260	54,24264	7	0
336	383	284	384	0,00001	52,41420	52,41421	4	0
201	410	168	392	0,00002	55,62740	55,62742	17	0
241	405	194	402	-0,00002	58,48530	58,48528	12	0
256	394	230	368	0,00004	59,45580	59,45584	13	0
196	364	185	419	0,00005	59,55630	59,55635	6	0
176	435	158	399	-0,00002	56,48530	56,48528	10	0
